character;actor;movie
James Bond;Roger Moore;A View to a Kill
Max Zorin;Christopher Walken;A View to a Kill
Stacey Sutton;Tanya Roberts;A View to a Kill
May Day;Grace Jones;A View to a Kill
Sir Godfrey Tibbett;Patrick Macnee;A View to a Kill
Scarpine;Patrick Bauchau;A View to a Kill
Dr. Mortner;Willoughby Gray;A View to a Kill
Pola Ivanova;Fiona Fullerton;A View to a Kill
Chuck Lee;David Yip;A View to a Kill
General Gogol;Walter Gotell;A View to a Kill
M;Robert Brown;A View to a Kill
Q;Desmond Llewelyn;A View to a Kill
Sir Fredrick Gray;Geoffrey Keen;A View to a Kill
Miss Moneypenny;Lois Maxwell;A View to a Kill
Kimberley Jones;Mary Stävin;A View to a Kill
Jenny Flex;Alison Doody;A View to a Kill
Pan Ho;Papillon Soo Soo;A View to a Kill
Bob Conley;Manning Redwood;A View to a Kill
Achille Aubergine;Jean Rougerie;A View to a Kill
Dominique;Carole Ashby;A View to a Kill
Klotkoff;Bogdan Kominowski;A View to a Kill
W.G. Howe;Daniel Benzali;A View to a Kill
SFPD Captain;Joe Flood;A View to a Kill
Venz;wikipedia:Dolph Lundgren|Dolph Lundgren;A View to a Kill
Zorin's guard;Ron Tarr;A View to a Kill
James Bond;Daniel Craig;Casino Royale
Vesper Lynd;Eva Green;Casino Royale
Le Chiffre;Mads Mikkelsen;Casino Royale
M;Judi Dench;Casino Royale
Felix Leiter;Jeffrey Wright;Casino Royale
René Mathis;Giancarlo Giannini;Casino Royale
Mr. White;Jesper Christensen;Casino Royale
Valenka;Ivana Miličević;Casino Royale
Alex Dimitrios;Simon Abkarian;Casino Royale
Solange Dimitrios;Caterina Murino;Casino Royale
Carlos Nikolic;Claudio Santamaria;Casino Royale
Villiers;Tobias Menzies;Casino Royale
Dryden;Malcolm Sinclair;Casino Royale
Mr. Bliss;Con O'Neill;Casino Royale
Steven Obanno;Isaach De Bankolé;Casino Royale
Mollaka Danso;Sébastian Foucan;Casino Royale
Adolph Gettler;Richard Sammel;Casino Royale
Kratt;Clemens Schick;Casino Royale
Fisher;Darwin Shaw;Casino Royale
Leo;Emmanuel Avena;Casino Royale
Carter;Joseph Millson;Casino Royale
Tall Man;Leo Stransky;Casino Royale
Madam Wu;Tsai Chin;Casino Royale
Mendel;Ludger Pistor;Casino Royale
Williams;Ben Cooke;Casino Royale
Infante;Ade;Casino Royale
Tomelli;Urbano Barberini;Casino Royale
Gallardo;Charlie Levy Leroy;Casino Royale
Kaminofsky;Lazar Ristovski;Casino Royale
Fukutu;Tom So;Casino Royale
Gräfin von Wallenstein;Veruschka von Lehndorff;Casino Royale
Ocean Club receptionist;Christina Cole;Casino Royale
Vanya Bor;Unknown;Casino Royale
Heni Marville-Beau;Unknown;Casino Royale
Izzie Sawakowa;Unknown;Casino Royale
James Bond;Sean Connery;Diamonds Are Forever
Tiffany Case;Jill St. John;Diamonds Are Forever
Ernst Stavro Blofeld;Charles Gray;Diamonds Are Forever
Mr. Kidd;Putter Smith;Diamonds Are Forever
Mr. Wint;Bruce Glover;Diamonds Are Forever
Plenty O'Toole;Lana Wood;Diamonds Are Forever
Willard Whyte;Jimmy Dean;Diamonds Are Forever
Felix Leiter;Norman Burton;Diamonds Are Forever
Bert Saxby;Bruce Cabot;Diamonds Are Forever
Miss Moneypenny;Lois Maxwell;Diamonds Are Forever
Professor Dr. Metz;Joseph Fürst;Diamonds Are Forever
Sir Donald Munger;Laurence Naismith;Diamonds Are Forever
Morton Slumber;David Bauer;Diamonds Are Forever
Q;Desmond Llewelyn;Diamonds Are Forever
M;Bernard Lee;Diamonds Are Forever
Dr. Tynan;Henry Rowland;Diamonds Are Forever
Shady Tree;Leonard Barr;Diamonds Are Forever
Mrs. Whistler;Margaret Lacey;Diamonds Are Forever
Peter Franks;Joe Robinson;Diamonds Are Forever
Joe;Ray Baker;Diamonds Are Forever
Bambi;Lola Larson;Diamonds Are Forever
Thumper;Trina Parks;Diamonds Are Forever
Tom;Shane Rimmer;Diamonds Are Forever
James Bond;Pierce Brosnan;Die Another Day
Jinx;Halle Berry;Die Another Day
Gustav Graves;Toby Stephens;Die Another Day
Miranda Frost;Rosamund Pike;Die Another Day
Zao;Rick Yune;Die Another Day
M;Judi Dench;Die Another Day
Q;John Cleese;Die Another Day
Damian Falco;Michael Madsen;Die Another Day
General Moon;Kenneth Tsang;Die Another Day
Colonel Moon;Will Yun Lee;Die Another Day
Raoul;Emilio Echevarría;Die Another Day
Miss Moneypenny;Samantha Bond;Die Another Day
Charles Robinson;Colin Salmon;Die Another Day
Verity;Madonna;Die Another Day
Vlad;Mikhail Gorevoy;Die Another Day
Mr. Kil;Lawrence Makoare;Die Another Day
Dr. Alvarez;Simón Andreu;Die Another Day
Mr. Chang;Ho Yi;Die Another Day
James Bond;Sean Connery;Dr. No
Honey Ryder;Unknown;Dr. No
Dr. Julius No;Joseph Wiseman;Dr. No
Felix Leiter;Jack Lord;Dr. No
M;Bernard Lee;Dr. No
R. J. Dent;Anthony Dawson;Dr. No
Quarrel;John Kitzmiller;Dr. No
Miss Taro;Zena Marshall;Dr. No
Sylvia Trench;Eunice Gayson;Dr. No
Sister Rose;Michel Mok;Dr. No
Miss Moneypenny;Lois Maxwell;Dr. No
Q;Peter Burton;Dr. No
Sister Lily;Yvonne Shima;Dr. No
Pleydell Smith;Louis Blaazer;Dr. No
Mr. Jones;Reginald Carter;Dr. No
Superintendent Duff;William Foster-Davis;Dr. No
Annabel Chung;Marguerite LeWars;Dr. No
The Three Blind Mice;Unknown;Dr. No
Mary Trueblood;Unknown;Dr. No
Chen;Unknown;Dr. No
Puss-Feller;Unknown;Dr. No
Milton Reid;Unknown;Dr. No
James Bond;Roger Moore;For Your Eyes Only
Melina Havelock;Carole Bouquet;For Your Eyes Only
Milos Columbo;Chaim Topol;For Your Eyes Only
Bibi Dahl;Lynn-Holly Johnson;For Your Eyes Only
Aris Kristatos;Julian Glover;For Your Eyes Only
Lisl von Schlaf;Cassandra Harris;For Your Eyes Only
Jacoba Brink;Jill Bennett;For Your Eyes Only
Emile Leopold Locque;Michael Gothard;For Your Eyes Only
Erich Kriegler;John Wyman;For Your Eyes Only
Sir Timothy Havelock;Jack Hedley;For Your Eyes Only
General Gogol;Walter Gotell;For Your Eyes Only
Bill Tanner;James Villiers;For Your Eyes Only
Sir Fredrick Gray;Geoffrey Keen;For Your Eyes Only
Q;Desmond Llewelyn;For Your Eyes Only
Miss Moneypenny;Lois Maxwell;For Your Eyes Only
Luigi Ferrara;Unknown;For Your Eyes Only
Hector Gonzales;Unknown;For Your Eyes Only
Claus;Charles Dance;For Your Eyes Only
Gonzales' henchman;Clive Curtis;For Your Eyes Only
First Sea Lord;Graham Crowden;For Your Eyes Only
Rublevitch;Eva Rueber-Staier;For Your Eyes Only
Sheena Easton;Unknown;For Your Eyes Only
James Bond;Sean Connery;From Russia with Love
Tatiana Romanova;Unknown;From Russia with Love
Colonel Rosa Klebb;Lotte Lenya;From Russia with Love
Ali Kerim Bey;Pedro Armendariz;From Russia with Love
Red Grant;Robert Shaw;From Russia with Love
M;Bernard Lee;From Russia with Love
Sylvia Trench;Eunice Gayson;From Russia with Love
Kronsteen;Vladek Sheybal;From Russia with Love
Ernst Stavro Blofeld;Anthony Dawson;From Russia with Love
Miss Moneypenny;Lois Maxwell;From Russia with Love
Q;Desmond Llewelyn;From Russia with Love
Morzeny;Walter Gotell;From Russia with Love
Vavra;Francis de Wolff;From Russia with Love
Vida;Aliza Gur;From Russia with Love
Zora;Martine Beswick;From Russia with Love
Leila;Leila;From Russia with Love
James Bond;Pierce Brosnan;GoldenEye
Alec Trevelyan;Sean Bean;GoldenEye
Natalya Simonova;Izabella Scorupco;GoldenEye
Xenia Onatopp;Famke Janssen;GoldenEye
Jack Wade;Joe Don Baker;GoldenEye
M;Judi Dench;GoldenEye
Valentin Zukovsky;Robbie Coltrane;GoldenEye
Dmitri Mishkin;Tchéky Karyo;GoldenEye
General Ourumov;Gottfried John;GoldenEye
Boris Grishenko;Alan Cumming;GoldenEye
Bill Tanner;Michael Kitchen;GoldenEye
Caroline;Serena Gordon;GoldenEye
Q;Desmond Llewelyn;GoldenEye
Miss Moneypenny;Samantha Bond;GoldenEye
Admiral Chuck Farrel;Billy J. Mitchell;GoldenEye
Irina;Minnie Driver;GoldenEye
Anna J. Nishkov;Michelle Arthur;GoldenEye
Valentin's Bodyguard;Peter Majer;GoldenEye
Lt. François Brouse - Tiger Helicopter Pilot;Simon Crane;GoldenEye
Capt. Bernard Jaubert - Tiger Helicopter Pilot;Wayne Michaels;GoldenEye
Train Driver;Trevor Byfield;GoldenEye
James Bond;Sean Connery;Goldfinger
Auric Goldfinger;Gert Fröbe;Goldfinger
Oddjob;Harold Sakata;Goldfinger
Pussy Galore;Honor Blackman;Goldfinger
Jill Masterson;Shirley Eaton;Goldfinger
Tilly Masterson;Tania Mallet;Goldfinger
M;Bernard Lee;Goldfinger
Mr. Ling;Burt Kwouk;Goldfinger
Mr. Solo;Martin Benson;Goldfinger
Bonita;Nadja Regin;Goldfinger
Q;Desmond Llewelyn;Goldfinger
Felix Leiter;Cec Linder;Goldfinger
Kisch;Michael Mellinger;Goldfinger
Denise;Aleta Morrison;Goldfinger
Atomic Specialist;Robert MacLeod;Goldfinger
Capungo;Alf Joint;Goldfinger
Simmons;Austin Willis;Goldfinger
Miss Moneypenny;Lois Maxwell;Goldfinger
Jack Strap;Hal Galili;Goldfinger
Jed Midgnight;Bill Nagy;Goldfinger
Dink;Margaret Nolan;Goldfinger
Hawker;Gerry Duggan;Goldfinger
Mei-Lei;Mai Ling;Goldfinger
Colonel Smithers;Richard Vernon;Goldfinger
List of Minor Characters in Goldfinger;Unknown;Goldfinger
James Bond;Timothy Dalton;Licence to Kill
Franz Sanchez;Robert Davi;Licence to Kill
Pam Bouvier;Carey Lowell;Licence to Kill
Lupe Lamora;Talisa Soto;Licence to Kill
Dario;Benicio del Toro;Licence to Kill
Milton Krest;Anthony Zerbe;Licence to Kill
Q;Desmond Llewelyn;Licence to Kill
Felix Leiter;David Hedison;Licence to Kill
Joe Butcher;Wayne Newton;Licence to Kill
Ed Killifer;Everett McGill;Licence to Kill
Colonel Heller;Don Stroud;Licence to Kill
Hector Lopez;Pedro Armendáriz Jr.;Licence to Kill
Della Churchill;Priscilla Barnes;Licence to Kill
Sharkey;Frank McRae;Licence to Kill
M;Robert Brown;Licence to Kill
Perez;Alejandro Bracho;Licence to Kill
Braun;Guy De Saint Cyr;Licence to Kill
Miss Moneypenny;Caroline Bliss;Licence to Kill
Kwang;Cary-Hiroyuki Tagawa;Licence to Kill
Loti;Diana Lee-Hsu;Licence to Kill
Fallon;Christopher Neame;Licence to Kill
Truman-Lodge;Anthony Starke;Licence to Kill
Hawkins;Grand L. Bush;Licence to Kill
Montelongo;Claudio Brook;Licence to Kill
Mullens;Rafer Johnson;Licence to Kill
Bill;Jeff Moldovan;Licence to Kill
Alvarez;Gerardo Albarrán;Licence to Kill
Clive;Eddie Edenfield;Licence to Kill
Honorato;Honorato Magaloni;Licence to Kill
Tan;Osami Kawawo;Licence to Kill
Consuelo;Cynthia Fallon;Licence to Kill
Rasmussen;Enrique Novi;Licence to Kill
James Bond;Roger Moore;Live and Let Die
Dr. Kananga/Mr. Big;Yaphet Kotto;Live and Let Die
Solitaire;Jane Seymour;Live and Let Die
Sheriff J.W. Pepper;Clifton James;Live and Let Die
Baron Samedi;Geoffrey Holder;Live and Let Die
Tee Hee;Julius Harris;Live and Let Die
Felix Leiter;David Hedison;Live and Let Die
Rosie Carver;Gloria Hendry;Live and Let Die
M;Bernard Lee;Live and Let Die
Miss Moneypenny;Lois Maxwell;Live and Let Die
Adam;Tommy Lane;Live and Let Die
Whisper;Earl Jolly Brown;Live and Let Die
Harold Strutter;Lon Satton;Live and Let Die
Quarrel Jr.;Roy Stewart;Live and Let Die
Mrs. Bell;Ruth Kempf;Live and Let Die
James Bond;Roger Moore;Moonraker
Holly Goodhead;Lois Chiles;Moonraker
Hugo Drax;Michael Lonsdale;Moonraker
Jaws;Richard Kiel;Moonraker
Corinne Dufour;Corinne Cléry;Moonraker
Manuela;Emily Bolton;Moonraker
M;Bernard Lee;Moonraker
General Gogol;Walter Gotell;Moonraker
Sir Fredrick Gray;Geoffrey Keen;Moonraker
Chang;Toshirô Suga;Moonraker
Miss Moneypenny;Lois Maxwell;Moonraker
Blonde Beauty;Irka Bochenko;Moonraker
Q;Desmond Llewelyn;Moonraker
Dolly;Blanche Ravalec;Moonraker
Museum Guide;Anne Lonnberg;Moonraker
Colonel Scott;Mike Marshall;Moonraker
Apollo pilot;Jean-Pierre Castaldi;Moonraker
Apollo air hostess;Leila Shenna;Moonraker
James Bond;Daniel Craig;No Time to Die
Madeleine Swann;Léa Seydoux;No Time to Die
Lyutsifer Safin;Rami Malek;No Time to Die
Nomi;Lashana Lynch;No Time to Die
Q;Ben Whishaw;No Time to Die
Eve Moneypenny;Naomie Harris;No Time to Die
Felix Leiter;Jeffrey Wright;No Time to Die
Ernst Stavro Blofeld;Christoph Waltz;No Time to Die
M;Ralph Fiennes;No Time to Die
Logan Ash;Billy Magnussen;No Time to Die
Paloma;Ana de Armas;No Time to Die
Valdo Obruchev;David Dencik;No Time to Die
Bill Tanner;Rory Kinnear;No Time to Die
Primo;Dali Benssalah;No Time to Die
Lisa-Dorah Sonnet;Unknown;No Time to Die
Coline Defaud;Unknown;No Time to Die
Hugh Dennis;Unknown;No Time to Die
Priyanga Burford;Unknown;No Time to Die
Amy Morgan;Unknown;No Time to Die
Lizzie Winkler;Unknown;No Time to Die
Brigitte Miller;Unknown;No Time to Die
Hayden Phillips;Unknown;No Time to Die
James Bond;Roger Moore;Octopussy
Octopussy;Maud Adams;Octopussy
Kamal Khan;Louis Jourdan;Octopussy
Magda;Kristina Wayborn;Octopussy
General Orlov;Steven Berkoff;Octopussy
Gobinda;Kabir Bedi;Octopussy
Q;Desmond Llewelyn;Octopussy
Vijay;Vijay Amritraj;Octopussy
M;Robert Brown;Octopussy
General Gogol;Walter Gotell;Octopussy
Sir Fredrick Gray;Geoffrey Keen;Octopussy
Miss Moneypenny;Lois Maxwell;Octopussy
Penelope Smallbone;Michaela Clavell;Octopussy
Colonel Luis Toro;Ken Norris;Octopussy
Mischka;David Meyer;Octopussy
Grischka;Anthony Meyer;Octopussy
Sadruddin;Albert Moses;Octopussy
Leonid Brezhnev;Paul Hardwick;Octopussy
Jim Fanning;Douglas Wilmer;Octopussy
009;Andy Bradford;Octopussy
Yo-yo thug;William Derrick;Octopussy
Bianca;Tina Hudson;Octopussy
Lieutenant General Peterson;Bruce Boa;Octopussy
Smithers;Jeremy Bulloch;Octopussy
Rubelvitch;Eva Rueber-Staier;Octopussy
Major Clive;Stuart Saunders;Octopussy
Senior Lieutenant Kamp;Dermot Crowley;Octopussy
Lenkin;Peter Porteous;Octopussy
James Bond;George Lazenby;On Her Majesty's Secret Service
Tracy Bond;Diana Rigg;On Her Majesty's Secret Service
Ernst Stavro Blofeld;Telly Savalas;On Her Majesty's Secret Service
Marc-Ange Draco;Gabriele Ferzetti;On Her Majesty's Secret Service
Irma Bunt;Ilse Steppat;On Her Majesty's Secret Service
M;Bernard Lee;On Her Majesty's Secret Service
Ruby Bartlett;Angela Scoular;On Her Majesty's Secret Service
Miss Moneypenny;Lois Maxwell;On Her Majesty's Secret Service
Nancy;Catherine Von Schell;On Her Majesty's Secret Service
Grunther;Yuri Borienko;On Her Majesty's Secret Service
Sir Hilary Bray;George Baker;On Her Majesty's Secret Service
Shaun Campbell;Bernard Horsfall;On Her Majesty's Secret Service
Q;Desmond Llewelyn;On Her Majesty's Secret Service
Olympe;Virginia North;On Her Majesty's Secret Service
James Bond;Daniel Craig;Quantum of Solace
Dominic Greene;Mathieu Amalric;Quantum of Solace
Camille Montes;Olga Kurylenko;Quantum of Solace
Strawberry Fields;Gemma Arterton;Quantum of Solace
M;Judi Dench;Quantum of Solace
René Mathis;Giancarlo Giannini;Quantum of Solace
Felix Leiter;Jeffrey Wright;Quantum of Solace
Mr. White;Jesper Christensen;Quantum of Solace
General Medrano;Joaquin Cosio;Quantum of Solace
Elvis;Anatole Taubman;Quantum of Solace
Bill Tanner;Rory Kinnear;Quantum of Solace
Craig Mitchell;Glenn Foster;Quantum of Solace
Gregg Beam;David Harbour;Quantum of Solace
Yusef Kabira;Simon Kassianides;Quantum of Solace
Guy Haines;Paul Ritter;Quantum of Solace
Colonel Carlos;Fernando Guillen Cuervo;Quantum of Solace
Gemma;Lucrezia Lante della Rovere;Quantum of Solace
Greene's Driver;Carl von Malaisé;Quantum of Solace
M's bodyguard;Mark Wakeling;Quantum of Solace
Lieutenant Orso;Jesús Ochoa;Quantum of Solace
Gregor Karakov;Kamil Krejcí;Quantum of Solace
Moishe Soref;Erosi Margiani;Quantum of Solace
Marchetti Pilot;Antonio Gil;Quantum of Solace
Edmund Slate;Neil Jackson;Quantum of Solace
Corinne Veneau;Stana Katic;Quantum of Solace
Haines' Bodyguard;Derek Lea;Quantum of Solace
Eva Green;Unknown;Quantum of Solace
James Bond;Daniel Craig;Skyfall
M;Judi Dench;Skyfall
Raoul Silva;Javier Bardem;Skyfall
Gareth Mallory;Ralph Fiennes;Skyfall
Eve Moneypenny;Naomie Harris;Skyfall
Sévérine;Berenice Marlohe;Skyfall
Kincade;Albert Finney;Skyfall
Q;Ben Whishaw;Skyfall
Bill Tanner;Rory Kinnear;Skyfall
Patrice;Ola Rapace;Skyfall
Clair Dowar;Helen McCrory;Skyfall
Bond’s Lover;Tonia Sotiropoulou;Skyfall
Ronson;Bill Buckhurst;Skyfall
Doctor Hall;Nicholas Woodeson;Skyfall
Vanessa;Elize du Toit;Skyfall
Boat Captain;Milorad Kapor;Skyfall
Steve Benelisha;Paul Davis;Skyfall
Ben Daheer;Unknown;Skyfall
Andrew Surry;Unknown;Skyfall
Naz Husein;Unknown;Skyfall
Paul Inglis;Unknown;Skyfall
James Bond;Daniel Craig;Spectre
Ernst Stavro Blofeld;Christoph Waltz;Spectre
Dr. Madeleine Swann;Léa Seydoux;Spectre
M;Ralph Fiennes;Spectre
Lucia Sciarra;Monica Bellucci;Spectre
Q;Ben Whishaw;Spectre
Eve Moneypenny;Naomie Harris;Spectre
Mr. Hinx;David Bautista;Spectre
Max Denbigh;Andrew Scott;Spectre
Bill Tanner;Rory Kinnear;Spectre
Mr. White;Jesper Christensen;Spectre
Estrella;Stephanie Sigman;Spectre
Marco Sciarra;Alessandro Cremona;Spectre
Gallo;Domenico Fortunato;Spectre
Blofeld's Right-Hand Man;Gediminas Adomaitis;Spectre
Lorenzo;Peppe Lanzetta;Spectre
Marco;Matteo Taranto;Spectre
Francesco;Francesco Arca;Spectre
Moreau;Marc Zinga;Spectre
Dr. Vogel;Brigitte Millar;Spectre
Abrika;Adel Bencherif;Spectre
Guerra;Benito Sagredo;Spectre
Marshall;Erick Hayden;Spectre
Valerian;Oleg Mirochnikov;Spectre
James Bond;Timothy Dalton;The Living Daylights
Kara Milovy;Maryam d'Abo;The Living Daylights
General Georgi Koskov;Jeroen Krabbé;The Living Daylights
Brad Whitaker;Joe Don Baker;The Living Daylights
Necros;Andreas Wisniewski;The Living Daylights
General Leonid Pushkin;John Rhys-Davies;The Living Daylights
Kamran Shah;Art Malik;The Living Daylights
Q;Desmond Llewelyn;The Living Daylights
M;Robert Brown;The Living Daylights
Saunders;Thomas Wheatley;The Living Daylights
Imposter 00;Carl Rigg;The Living Daylights
General Gogol;Walter Gotell;The Living Daylights
Miss Moneypenny;Caroline Bliss;The Living Daylights
Sir Fredrick Gray;Geoffrey Keen;The Living Daylights
Colonel Feyador;John Bowe;The Living Daylights
Rubavitch;Virginia Hey;The Living Daylights
Felix Leiter;John Terry;The Living Daylights
Green Four;Bill Weston;The Living Daylights
004;Frederick Warder;The Living Daylights
002;Glyn Baker;The Living Daylights
Rosika Miklos;Julie T. Wallace;The Living Daylights
Sergeant Stagg;Derek Hoxby;The Living Daylights
Liz;Catherine Rabett;The Living Daylights
Ava;Dulice Liecier;The Living Daylights
Linda;Kell Tyler;The Living Daylights
Achmed;Atik Mohamed;The Living Daylights
James Bond;Roger Moore;The Man with the Golden Gun
Francisco Scaramanga;Christopher Lee;The Man with the Golden Gun
Mary Goodnight;Britt Ekland;The Man with the Golden Gun
Andrea Anders;Maud Adams;The Man with the Golden Gun
Nick Nack;Hervé Villechaize;The Man with the Golden Gun
Sheriff J.W. Pepper;Clifton James;The Man with the Golden Gun
Hai Fat;Richard Loo;The Man with the Golden Gun
Lieutenant Hip;Soon-Tek Oh;The Man with the Golden Gun
Rodney;Marc Lawrence;The Man with the Golden Gun
M;Bernard Lee;The Man with the Golden Gun
Miss Moneypenny;Lois Maxwell;The Man with the Golden Gun
Lazar;Marne Maitland;The Man with the Golden Gun
Q;Desmond Llewelyn;The Man with the Golden Gun
Colthorpe;James Cossins;The Man with the Golden Gun
Chula;Chan Yiu Lam;The Man with the Golden Gun
Maud Adams;Unknown;The Man with the Golden Gun
James Bond;Roger Moore;The Spy Who Loved Me
Anya Amasova;Barbara Bach;The Spy Who Loved Me
Karl Stromberg;Curt Jurgens;The Spy Who Loved Me
Jaws;Richard Kiel;The Spy Who Loved Me
M;Bernard Lee;The Spy Who Loved Me
General Gogol;Walter Gotell;The Spy Who Loved Me
Naomi;Caroline Munro;The Spy Who Loved Me
Sir Fredrick Gray;Geoffrey Keen;The Spy Who Loved Me
Sergei Barsov;Michael Billington;The Spy Who Loved Me
Q;Desmond Llewelyn;The Spy Who Loved Me
Miss Moneypenny;Lois Maxwell;The Spy Who Loved Me
Liparus captain;Sydney Tafler;The Spy Who Loved Me
Professor Markovitz;Milo Sperber;The Spy Who Loved Me
Dr. Bechmann;Cyril Shaps;The Spy Who Loved Me
Felicca;Olga Bisera;The Spy Who Loved Me
Sandor;Milton Reid;The Spy Who Loved Me
Commander Carter;Shane Rimmer;The Spy Who Loved Me
Commander Talbot;Bryan Marshall;The Spy Who Loved Me
Max Kalba;Vernon Dobtcheff;The Spy Who Loved Me
Aziz Fekkesh;Nadim Sawalha;The Spy Who Loved Me
Martine Blanchaud;Sue Vanner;The Spy Who Loved Me
Sheikh Hosein;Edward de Souza;The Spy Who Loved Me
Captain Benson;George Baker;The Spy Who Loved Me
Rubelvitch;Eva Rueber-Staier;The Spy Who Loved Me
Robert Brown;Unknown;The Spy Who Loved Me
Timothy Dalton;Unknown;The Spy Who Loved Me
James Bond;Pierce Brosnan;The World Is Not Enough
Elektra King;Sophie Marceau;The World Is Not Enough
Renard;Robert Carlyle;The World Is Not Enough
Dr. Christmas Jones;Denise Richards;The World Is Not Enough
Valentin Zukovsky;Robbie Coltrane;The World Is Not Enough
M;Judi Dench;The World Is Not Enough
Q;Desmond Llewelyn;The World Is Not Enough
R;John Cleese;The World Is Not Enough
Cigar Girl;Maria Grazia Cucinotta;The World Is Not Enough
Miss Moneypenny;Samantha Bond;The World Is Not Enough
Bill Tanner;Michael Kitchen;The World Is Not Enough
Charles Robinson;Colin Salmon;The World Is Not Enough
Molly Warmflash;Serena Scott Thomas;The World Is Not Enough
Sasha Davidov;Ulrich Thomsen;The World Is Not Enough
Mister Bullion;Goldie;The World Is Not Enough
Gabor;John Seru;The World Is Not Enough
Colonel Akakievich;Claude-Oliver Rudolph;The World Is Not Enough
Desmond Llewelyn;Unknown;The World Is Not Enough
James Bond;Sean Connery;Thunderball
Emilio Largo;Adolfo Celi;Thunderball
Domino Derval;Claudine Auger;Thunderball
Fiona Volpe;Luciana Paluzzi;Thunderball
M;Bernard Lee;Thunderball
Miss Moneypenny;Lois Maxwell;Thunderball
Q;Desmond Llewelyn;Thunderball
Count Lippe;Guy Doleman;Thunderball
Felix Leiter;Rik Van Nutter;Thunderball
Jacques Bouvar;Bob Simmons;Thunderball
Angelo Palazzi;Paul Stassino;Thunderball
François Derval;Paul Stassino);Thunderball
Paula Caplan;Martine Beswick;Thunderball
Patricia Fearing;Molly Peters;Thunderball
Pinder;Earl Cameron;Thunderball
Vargas;Philip Locke;Thunderball
Quist;Bill Cummings;Thunderball
Ladislav Kutze;George Pravda;Thunderball
James Bond;Pierce Brosnan;Tomorrow Never Dies
Elliot Carver;Jonathan Pryce;Tomorrow Never Dies
Wai Lin;Michelle Yeoh;Tomorrow Never Dies
Stamper;Götz Otto;Tomorrow Never Dies
Paris Carver;Teri Hatcher;Tomorrow Never Dies
M;Judi Dench;Tomorrow Never Dies
Jack Wade;Joe Don Baker;Tomorrow Never Dies
Henry Gupta;Ricky Jay;Tomorrow Never Dies
Q;Desmond Llewelyn;Tomorrow Never Dies
Dr. Kaufman;Vincent Schiavelli;Tomorrow Never Dies
Admiral Roebuck;Geoffrey Palmer;Tomorrow Never Dies
Charles Robinson;Colin Salmon;Tomorrow Never Dies
Miss Moneypenny;Samantha Bond;Tomorrow Never Dies
Minister of Defence;Julian Fellowes;Tomorrow Never Dies
General Chang;Philip Kwok;Tomorrow Never Dies
Captain Scott;Mark Spalding;Tomorrow Never Dies
Major General Bukharin;Terence Rigby;Tomorrow Never Dies
Dave Greenwalt;Colin Stinton;Tomorrow Never Dies
Inga Bergstrom;Cecilie Thomsen;Tomorrow Never Dies
Tamara Steel;Nina Young;Tomorrow Never Dies
Tom Wallace;Michael G. Wilson;Tomorrow Never Dies
Jeff Hobbs;Hugo Napier;Tomorrow Never Dies
Philip Jones;Rolf Saxon;Tomorrow Never Dies
Beth Davidson;Nadia Cameron-Blakey;Tomorrow Never Dies
Mary Golson;Liza Ross;Tomorrow Never Dies
Commander Day;Christopher Bowen;Tomorrow Never Dies
Lieutenant Commander Hume;Andrew Hawkins;Tomorrow Never Dies
Petty Officer Wood;Adam Barker;Tomorrow Never Dies
Chief Petty Officer Tutt;Julian Rhind-Tutt;Tomorrow Never Dies
Lieutenant Commander;Dominic Shaun;Tomorrow Never Dies
Leading Seaman;Gerard Butler;Tomorrow Never Dies
Admiral Kelly;Michael Byrne;Tomorrow Never Dies
Air Warfare Officer;Hugh Bonneville;Tomorrow Never Dies
Principal Warfare Officer;Jason Watkins;Tomorrow Never Dies
Firing Officer;Bruce Alexander;Tomorrow Never Dies
Terrorist pilot;Theo Kypri;Tomorrow Never Dies
Terrorist Co-Pilot;Unknown actor;Tomorrow Never Dies
Satoshi Isagura;Khan Bonfils;Tomorrow Never Dies
James Bond;Sean Connery;You Only Live Twice
Tiger Tanaka;Unknown;You Only Live Twice
Aki;Akiko Wakabayashi;You Only Live Twice
Kissy Suzuki;Mie Hama;You Only Live Twice
Ernst Stavro Blofeld;Donald Pleasence;You Only Live Twice
Mr. Osato;Teru Shimada;You Only Live Twice
Helga Brandt;Karin Dor;You Only Live Twice
Hans;Ronald Rich;You Only Live Twice
M;Bernard Lee;You Only Live Twice
Miss Moneypenny;Lois Maxwell;You Only Live Twice
Q;Desmond Llewelyn;You Only Live Twice
Dikko Henderson;Charles Gray;You Only Live Twice
Ling;Tsai Chin;You Only Live Twice
Spectre 3;Burt Kwouk;You Only Live Twice
Spectre 4;Unknown;You Only Live Twice
Ernst Stavro Blofeld;Anthony Dawson;Thunderball
